id,date,ticket,title,project,comments,user,of,of_name,time
274,2014-07-28,944,"[WB] Internationnaliser activity report",SysFera,"",keo,1254,R&D - SysFera-DS v5.0,5.0
341,2014-07-28,964,"Congés",SysFera,"N/A",absila,60,Congés,7.7
37,2014-07-28,946,"Livrer le Manuel D5",eBiothon,"Redaction rapport",nbard,1235,IDRIS - Sous traitance ebiothon,2.5
38,2014-07-28,946,"Livrer le Manuel D5",eBiothon,"Redaction rapport",nbard,1235,IDRIS - Sous traitance ebiothon,0.5
43,2014-07-28,946,"Livrer le Manuel D5",eBiothon,"",nbard,1235,IDRIS - Sous traitance ebiothon,5.0
48,2014-07-29,967,"Working Groups",SysFera,"Réunion imdoing",nbard,300,Formation interne,1.0
49,2014-07-29,967,"Working Groups",SysFera,"WG imdoing entry",phi,300,Formation interne,1.0
50,2014-07-29,967,"Working Groups",SysFera,"WG imdoing entry",phi,300,Formation interne,1.0
51,2014-07-29,967,"Working Groups",SysFera,"Showed imdoing time et al. to the team.",augustin,300,Formation interne,1.0
54,2014-07-29,967,"Working Groups",SysFera,"working group imdoing",r,300,Formation interne,1.0
53,2014-07-29,958,"Fonctionnement : FdT ...",SysFera,"listing actions restant à faire sur SOP: OF 1157",r,700,Fonctionnement,0.5
57,2014-07-29,967,"Working Groups",SysFera,"N/A",olivier,300,Formation interne,1.0
58,2014-07-29,884,"SOP : Accès simplifié à Scilab",SysFera,"support vishnu et OpenNebula sur l'infrastructure du démonstrateur",r,1157,Projet R&D ANR SOP,1.0
59,2014-07-29,943,"Imdoing : améliorations mineures diverses",SysFera,"Rewritten imdoing. Simplified, removed former code.",augustin,1247,R&D - Process R&D,5.5
62,2014-07-29,944,"[WB] Internationnaliser activity report",SysFera,"Helped Kevin debug/rewrite part of the Domain Classes.",augustin,1254,R&D - SysFera-DS v5.0,1.0
63,2014-07-29,896,"[VISHNU] Enlever les ID générés en base de données et en faire une config",SysFera,"mise à jour de l'environnement de tests sur jenkins",r,1257,R&D SysferaDS 5 Bug vishnu,4.0
64,2014-07-29,969,"Probléme de soumission de job avec fichier optionel omis",SysFera,"J'ai testé la soumission sur ebiothon en faisant le rapport (et pour preparer le mail a envoyer a Vincent lefort : je suis tombé sur ce bug",nbard,1248,Support E-Biothon / CNRS - Licence 2014,3.0
66,2014-07-29,969,"Probléme de soumission de job avec fichier optionel omis",SysFera,"Un peu aidé Nicolas à débugger.",augustin,1248,Support E-Biothon / CNRS - Licence 2014,0.5
75,2014-07-29,965,"Bug Vishnu",SysFera,"N/A",olivier,1257,R&D SysferaDS 5 Bug vishnu,7.0
275,2014-07-29,944,"[WB] Internationnaliser activity report",SysFera,"N/A",keo,1254,R&D - SysFera-DS v5.0,8.0
342,2014-07-29,964,"Congés",SysFera,"N/A",absila,60,Congés,7.7
60,2014-07-29,946,"Livrer le Manuel D5",eBiothon,"RC du doc",nbard,1235,IDRIS - Sous traitance ebiothon,2.0
61,2014-07-29,643,"Livrer le rapport mensuel D4 au 31/07/2014",eBiothon,"Bootstrap",nbard,1235,IDRIS - Sous traitance ebiothon,2.0
47,2014-07-29,952,"Tester vagrant sur SLES 6 sur une machine en interne",BioAster,"Galère sur keystone sur SLES6",phi,1233,IRT Bioaster - dev spécifiques autour d'OpenStack - point C,2.0
65,2014-07-29,952,"Tester vagrant sur SLES 6 sur une machine en interne",BioAster,"N/A",phi,1233,IRT Bioaster - dev spécifiques autour d'OpenStack - point C,6.0
79,2014-07-30,978,"Imdoing : problème avec FdT, nombre incorrect d'entrées retournées",SysFera,"Lutté contre ChiliProject qui bugge avec l'API python. Écrit un workaround. Jeté le workaround.",augustin,1247,R&D - Process R&D,3.0
67,2014-07-30,896,"[VISHNU] Enlever les ID générés en base de données et en faire une config",SysFera,"mise à jour de l'environement de test jenkins",r,1257,R&D SysferaDS 5 Bug vishnu,5.0
70,2014-07-30,975,"Démo/Rétro",SysFera,"demo sprint",r,2000,R&D - Process R&D SDS 5,3.0
73,2014-07-30,977,"WB : Proposer une version des menus en ""affix"" (qui scrollent puis se fixent en haut)",SysFera,"Implémenté l'affix de Twitter Bootstrap ""vite fait"". Pas encore testé/validé.",augustin,1254,R&D - SysFera-DS v5.0,2.0
72,2014-07-30,975,"Démo/Rétro",SysFera,"N/A",augustin,2000,R&D - Process R&D SDS 5,3.0
74,2014-07-30,975,"Démo/Rétro",SysFera,"N/A",phi,2000,R&D - Process R&D SDS 5,3.0
82,2014-07-30,975,"Démo/Rétro",SysFera,"N/A",olivier,2000,R&D - Process R&D SDS 5,3.0
123,2014-07-30,975,"Démo/Rétro",SysFera,"N/A",nbard,2000,R&D - Process R&D SDS 5,3.0
276,2014-07-30,944,"[WB] Internationnaliser activity report",SysFera,"N/A",keo,1254,R&D - SysFera-DS v5.0,8.0
343,2014-07-30,964,"Congés",SysFera,"N/A",absila,60,Congés,7.7
68,2014-07-30,643,"Livrer le rapport mensuel D4 au 31/07/2014",eBiothon,"Ajout intro et tickets/issues",nbard,1235,IDRIS - Sous traitance ebiothon,2.0
69,2014-07-30,973,"Administrer la plate forme Ebiothon",eBiothon,"Migration de version, reinstallation du bon webboard",nbard,1248,Support E-Biothon / CNRS - Licence 2014,1.0
78,2014-07-30,973,"Administrer la plate forme Ebiothon",eBiothon,"Version e-biothon",olivier,1248,Support E-Biothon / CNRS - Licence 2014,3.0
124,2014-07-30,643,"Livrer le rapport mensuel D4 au 31/07/2014",eBiothon,"N/A",nbard,1235,IDRIS - Sous traitance ebiothon,1.0
125,2014-07-30,946,"Livrer le Manuel D5",eBiothon,"N/A",nbard,1235,IDRIS - Sous traitance ebiothon,1.0
83,2014-07-30,872,"Création de la CLI",BioAster,"N/A",phi,1233,IRT Bioaster - dev spécifiques autour d'OpenStack - point C,1.0
113,2014-07-30,872,"Création de la CLI",BioAster,"N/A",olivier,1233,IRT Bioaster - dev spécifiques autour d'OpenStack - point C,1.0
76,2014-07-31,958,"Fonctionnement : FdT ...",SysFera,"Sprint planning
",phi,700,Fonctionnement,2.0
80,2014-07-31,978,"Imdoing : problème avec FdT, nombre incorrect d'entrées retournées",SysFera,"Rétabli le workaround, mais en mieux.",augustin,1247,R&D - Process R&D,1.0
81,2014-07-31,976,"WB : Permettre la création d'applications customisées (type PhyML)",SysFera,"Discussions avec Ben et réflexion aux modalités d'une POC.",augustin,1254,R&D - SysFera-DS v5.0,1.0
112,2014-07-31,921,"Log un peu violent et perf médiocre sur les stats",SysFera,"N/A",augustin,1254,R&D - SysFera-DS v5.0,0.5
114,2014-07-31,958,"Fonctionnement : FdT ...",SysFera,"N/A",olivier,700,Fonctionnement,2.0
115,2014-07-31,975,"Démo/Rétro",SysFera,"N/A",phi,2000,R&D - Process R&D SDS 5,3.0
116,2014-07-31,975,"Démo/Rétro",SysFera,"",augustin,2000,R&D - Process R&D SDS 5,2.0
117,2014-07-31,975,"Démo/Rétro",SysFera,"N/A",nbard,2000,R&D - Process R&D SDS 5,2.0
118,2014-07-31,975,"Démo/Rétro",SysFera,"N/A",r,2000,R&D - Process R&D SDS 5,3.0
121,2014-07-31,975,"Démo/Rétro",SysFera,"N/A",olivier,2000,R&D - Process R&D SDS 5,2.0
126,2014-07-31,896,"[VISHNU] Enlever les ID générés en base de données et en faire une config",SysFera,"start removed the two steps id generation in vishnu",r,1257,R&D SysferaDS 5 Bug vishnu,4.0
127,2014-07-31,975,"Démo/Rétro",SysFera,"N/A",keo,2000,R&D - Process R&D SDS 5,2.0
128,2014-07-31,966,"Bug WB",SysFera,"Plein de bugfixes sur le WB stable, travail sur la PR avec Kevin, etc.",augustin,1258,R&D SysferaDS 5 Bug WB + lib,3.0
277,2014-07-31,944,"[WB] Internationnaliser activity report",SysFera,"",keo,1254,R&D - SysFera-DS v5.0,6.0
344,2014-07-31,964,"Congés",SysFera,"N/A",absila,60,Congés,7.7
119,2014-07-31,946,"Livrer le Manuel D5",eBiothon,"N/A",nbard,1235,IDRIS - Sous traitance ebiothon,2.0
120,2014-07-31,643,"Livrer le rapport mensuel D4 au 31/07/2014",eBiothon,"N/A",nbard,1235,IDRIS - Sous traitance ebiothon,3.0
122,2014-07-31,973,"Administrer la plate forme Ebiothon",eBiothon,"N/A",nbard,1248,Support E-Biothon / CNRS - Licence 2014,1.0
77,2014-07-31,872,"Création de la CLI",BioAster,"RDV téléphonique Jacques",phi,1233,IRT Bioaster - dev spécifiques autour d'OpenStack - point C,1.0
